 60       ;   0.03        ;     56.22
 120      ;   0.03        ;    54.72
 180      ;   0.02        ;    53.26
 240      ;   0.03        ;    51.85
 300      ;   0.06        ;    47.95
 360      ;   0.10        ;    38.51
 420      ;   0.06        ;    34.55
 480      ;   0.04        ;    31.92
 540      ;   0.04        ;    28.60
 600      ;   0.04        ;    22.56
 660      ;   0.05        ;    18.34
 720      ;   0.06        ;    14.95
 780      ;   0.09        ;    12.26
 840      ;   0.11        ;    9.90
 900      ;   0.12        ;    8.02
 960      ;   0.13        ;    6.51
 1020      ;  0.13       ;    5.33
 1080      ;  0.13       ;    4.39
 1140      ;  0.13       ;    3.63

