 60       ;   0.01        ;     30.04
 120      ;   0.01        ;    30.43
 180      ;   0.01        ;    30.82
 240      ;   0.01        ;    31.21
 300      ;   0.01        ;    32.38
 360      ;   0.02        ;    35.91
 420      ;   0.01        ;    37.80
 480      ;   0.01        ;    39.24
 540      ;   0.01        ;    41.32
 600      ;   0.02        ;    46.22
 660      ;   0.02        ;    50.96
 720      ;   0.02        ;    56.12
 780      ;   0.03        ;    61.61
 840      ;   0.04        ;    68.18
 900      ;   0.04        ;    75.29
 960      ;   0.05        ;    83.08
 1020      ;  0.07       ;    91.31
 1080      ;  0.10       ;    100.05
 1140      ;  0.19       ;    109.44

